Code,Disease_Name,Symptoms,Search_Quality,Core_Terms
SP62,High fat disorder,PubMed findings: Dissecting inequity: global systematic review of trauma clinical guidance.,PubMed match,"high, fat"
SP63,Polydipsia disorder,Polydipsia is a nonspecific symptom in various medical disorders. (Source: Polydipsia),Wikipedia match,polydipsia
SP64,Obesity disorder,"Obesity is a medical condition, considered by multiple organizations to be a disease, in which excess body fat has accumulated to such an extent that it can have negative effects on health. People are classified as obese when their body mass index (BMI)—a person's weight divided by the square of the person's height—is over 30 kg/m2; the range 25–30 kg/m2 is defined as overweight. (Source: Obesity)",Wikipedia match,obesity
SP6Y,metabolic disorders,"A metabolic disorder is a disorder that negatively alters the body's processing and distribution of macronutrients, such as proteins, fats, and carbohydrates. Metabolic disorders can happen when abnormal chemical reactions in the body alter the normal metabolic process. (Source: Metabolic disorder)",Wikipedia match,metabolic
SP6Z,"Metabolic disorders (TM2),","Metabolism refers to the set of life-sustaining chemical reactions that occur within organisms. The three main functions of metabolism are: converting the energy in food into a usable form for cellular processes; converting food to building blocks of macromolecules (biopolymers) such as proteins, lipids, nucleic acids, and some carbohydrates; and eliminating metabolic wastes. (Source: Metabolism)",Wikipedia match,"metabolic, (tm2),"
,- - - - Tumours disorders (TM2),Skipped - Not a specific disease,Skipped,
SP70,Lipoma disorder,"Common locations include upper back, shoulders, and abdomen. (Source: Lipoma)",Wikipedia match,lipoma
SP71,Benign tumour disorder,Common examples of benign tumors include moles and uterine fibroids. (Source: Benign tumor),Wikipedia match,"benign, tumour"
SP72,Deep rooted spreading tumour disorder,"In vascular plants, the roots are the organs of a plant that are modified to provide anchorage for the plant and take in water and nutrients into the plant body, which allows plants to grow taller and faster. They are most often below the surface of the soil, but roots can also be aerial or aerating, that is, growing up above the ground or especially above water. (Source: Root)",Wikipedia match,"deep, rooted"
SP7Y,tumours disorders,A neoplasm is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia. (Source: Neoplasm),Wikipedia match,tumours
SP7Z,"Tumours disorders (TM2),",A neoplasm is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia. (Source: Neoplasm),Wikipedia match,"tumours, (tm2),"
SP90,Abscess disorder,"Signs and symptoms of abscesses include redness, pain, warmth, and swelling. (Source: Abscess)",Wikipedia match,abscess
SP91,Generalised oedema disorder,"A generalization is a form of abstraction whereby common properties of specific instances are formulated as general concepts or claims. Generalizations posit the existence of a domain or set of elements, as well as one or more common characteristics shared by those elements. (Source: Generalization)",Wikipedia match,"generalised, oedema"
SP92,Oedema disorder,"Symptoms may include skin that feels tight, the area feeling heavy, and joint stiffness. Other symptoms depend on the underlying cause. (Source: Edema)",Wikipedia match,oedema
SP93,Impaired immunity disorder,"Disability is the experience of any condition that makes it more difficult for a person to do certain activities or have equitable access within a given society. Disabilities can be present from birth or can be acquired during a person's lifetime. Historically, disabilities have only been recognized based on a narrow set of criteria—however, disabilities are not binary and can be present in unique characteristics depending on the individual. (Source: Disability)",Wikipedia match,"impaired, immunity"
SP94,Inflammation disorder,"The five cardinal signs are heat, pain, redness, swelling, and loss of function. (Source: Inflammation)",Wikipedia match,inflammation
SP95,Excessive yawning disorder,"A yawn is a reflex in vertebrate animals characterized by a long inspiratory phase with gradual mouth gaping, followed by a brief climax with muscle stretching, and a rapid expiratory phase with muscle relaxation, which typically lasts a few seconds. Almost all vertebrate animals, including mammals, birds, reptiles, amphibians, and even fish, experience yawning. (Source: Yawn)",Wikipedia match,"excessive, yawning"
SP96,Laziness disorder,"It is often used as a pejorative; terms for a person seen to be lazy
include ""couch potato"", ""slacker"", and ""bludger"". Related concepts include sloth, a Christian sin, abulia, a medical term for reduced motivation, and lethargy, a state of lacking energy. (Source: Laziness)",Wikipedia match,laziness
SP97,Severe fatigue disorder,Fatigue is a state of being without energy for a prolonged period of time. (Source: Fatigue),Wikipedia match,"severe, fatigue"
SP98,Syncope disorder,PubMed findings: Dysautonomia as a form of presentation of primary Sjögren's disease: a case series of six patients.,PubMed match,syncope
SP99,Pruritus disorder,"An itch is a sensation that causes a strong desire or reflex to scratch. Itches have resisted many attempts to be classified as any one type of sensory experience. Itches have many similarities to pain, and while both are unpleasant sensory experiences, their behavioral response patterns are different. (Source: Itch)",Wikipedia match,pruritus
SP9A,General debility disorder,PubMed findings: International Comparison of Geriatric-Associated Variables in Major Gastroenterological Surgery Between National Clinical Database and American College of Surgeons National Surgical Quality Improvement Program.,PubMed match,debility
SP9Y,disorders affecting the whole body,"PubMed findings: Characterization of the clinical features, laboratory findings, and outcomes of human fascioliasis in a global network: a retrospective mutlicenter study.",PubMed match,"affecting, whole"
SP9Z,"Disorders affecting the whole body (TM2),","PubMed findings: Characterization of the clinical features, laboratory findings, and outcomes of human fascioliasis in a global network: a retrospective mutlicenter study.",PubMed match,"affecting, whole"
,"Mental, emotional and behavioural disorders","Emotions are physical and mental states brought on by neurophysiological changes, variously associated with thoughts, feelings, behavioral responses, and a degree of pleasure or displeasure. (Source: Emotion)",Wikipedia match,"mental,, emotional"
,- - - - Mental disorders (TM2),Skipped - Not a specific disease,Skipped,
SQ00,Delirium disorder,"Delirium is a specific state of acute confusion attributable to the direct physiological consequence of a medical condition, effects of a psychoactive substance, or multiple causes, which usually develops over the course of hours to days. As a syndrome, delirium presents with disturbances in attention, awareness, and higher-order cognition. People with delirium may experience other neuropsychiatric disturbances including changes in psychomotor activity, disrupted sleep-wake cycle, emotional disturbances, disturbances of consciousness, or altered state of consciousness, as well as perceptual disturbances, although these features are not required for diagnosis. (Source: Delirium)",Wikipedia match,delirium
SQ01,Hallucination disorder,"Hallucinations also differ from ""delusional perceptions"", in which a correctly sensed and interpreted stimulus is given some additional significance. (Source: Hallucination)",Wikipedia match,hallucination
SQ02,Hysteria disorder,"Hysteria is a term used to mean ungovernable emotional excess and can refer to a temporary state of mind or emotion. In the nineteenth century, female hysteria was considered a diagnosable physical illness in women. (Source: Hysteria)",Wikipedia match,hysteria
SQ03,Insanity disorder,"Insanity can manifest as violations of societal norms, including a person or persons becoming a danger to themselves or to other people. Conceptually, mental insanity also is associated with the biological phenomenon of contagion as in the case of copycat suicides. In medicine, the general term psychosis is used to include the presence of delusions and/or hallucinations in a patient; and psychiatric illness is ""psychopathology"", not mental insanity. (Source: Insanity)",Wikipedia match,insanity
SQ04,Depressive disorder,"A mood disorder, also known as an affective disorder, is any of a group of conditions of mental and behavioral disorder where the main underlying characteristic is a disturbance in the person's mood. The classification is in the Diagnostic and Statistical Manual of Mental Disorders (DSM) and International Classification of Diseases (ICD). (Source: Mood disorder)",Wikipedia match,depressive
SQ05,"Lack of concentration, confusion disorder",PubMed findings: Unlocking the potential of fondaparinux: guideline for optimal usage and clinical suggestions (2023).,PubMed match,"lack, concentration,"
SQ0Y,mental disorders,"A mental disorder, also referred to as a mental illness, a mental health condition, or a psychiatric disability, is a behavioral or mental pattern that causes significant distress or impairment of personal functioning. A mental disorder is also characterized by a clinically significant disturbance in an individual's cognition, emotional regulation, or behavior, often in a social context. Such disturbances may occur as single episodes, may be persistent, or may be relapsing–remitting. (Source: Mental disorder)",Wikipedia match,mental
SQ0Z,"Mental disorders (TM2),",No reliable medical information found from available sources,No match,"mental, (tm2),"
,- - - - Emotional disorders (TM2),Skipped - Not a specific disease,Skipped,
SQ10,Anxiety ephemeral fever disorder,"Academically, the term ephemeral constitutionally describes a diverse assortment of things and experiences, from digital media to types of ponds and streams. (Source: Ephemerality)",Wikipedia match,"anxiety, ephemeral"
SQ1Y,emotional disorders,Emotional and behavioral disorders refer to a disability classification used in educational settings that allows educational institutions to provide special education and related services to students who have displayed poor social and/or academic progress. (Source: Emotional and behavioral disorders),Wikipedia match,emotional
SQ1Z,"Emotional disorders (TM2),","Emotions are physical and mental states brought on by neurophysiological changes, variously associated with thoughts, feelings, behavioral responses, and a degree of pleasure or displeasure. (Source: Emotion)",Wikipedia match,"emotional, (tm2),"
,- - - - Behavioural disorders (TM2),Skipped - Not a specific disease,Skipped,
SQ20,Alcoholism disorder,"The term alcoholism was first coined in 1852, but alcoholism and alcoholic are considered stigmatizing and likely to discourage seeking treatment, so diagnostic terms such as alcohol use disorder and alcohol dependence are often used instead in a clinical context. (Source: Alcoholism)",Wikipedia match,alcoholism
SQ21,Egomania disorder,"Egomania is a psychiatric term used to describe excessive preoccupation with one's ego, identity or self and applies the same preoccupation to anyone who follows one's own ungoverned impulses, is possessed by delusions of personal greatness & grandeur and feels a lack of appreciation. Someone suffering from this extreme egocentric focus is an egomaniac. (Source: Egomania)",Wikipedia match,egomania
SQ22,Non alcoholic intoxication disorder,"The term alcoholism was first coined in 1852, but alcoholism and alcoholic are considered stigmatizing and likely to discourage seeking treatment, so diagnostic terms such as alcohol use disorder and alcohol dependence are often used instead in a clinical context. (Source: Alcoholism)",Wikipedia match,"non, alcoholic"
SQ23,Panic attack disorder,"Panic attacks are sudden periods of intense fear and discomfort that may include palpitations, otherwise defined as a rapid, irregular heartbeat, sweating, chest pain or discomfort, shortness of breath, trembling, dizziness, numbness, confusion, or a sense of impending doom or loss of control. Typically, these symptoms are the worst within ten minutes of onset and can last for roughly 30 minutes, though they can vary anywhere from seconds to hours. (Source: Panic attack)",Wikipedia match,panic
SQ24,Insomnia disorder,"Insomnia, also known as sleeplessness, is a sleep disorder causing difficulty falling asleep or staying asleep for as long as desired. Insomnia is typically followed by daytime sleepiness, low energy, irritability, and a depressed mood. (Source: Insomnia)",Wikipedia match,insomnia
SQ2Y,behavioural disorders,Emotional and behavioral disorders refer to a disability classification used in educational settings that allows educational institutions to provide special education and related services to students who have displayed poor social and/or academic progress. (Source: Emotional and behavioral disorders),Wikipedia match,behavioural
SQ2Z,"Behavioural disorders (TM2),",These systems can include other systems or organisms as well as the inanimate physical environment. (Source: Behavior),Wikipedia match,"behavioural, (tm2),"
SQ40,Hypersomnia disorder,It can have many possible causes and can cause distress and problems with functioning. (Source: Hypersomnia),Wikipedia match,hypersomnia
SQ41,Lycanthropy disorder,"In folklore, a werewolf, or occasionally lycanthrope, is an individual who can shapeshift into a wolf, or especially in modern film, a therianthropic hybrid wolf–humanlike creature, either purposely or after being placed under a curse or affliction, often a bite or the occasional scratch from another werewolf, with the transformations occurring on the night of a full moon. Early sources for belief in this ability or affliction, called lycanthropy, are Petronius (27–66) and Gervase of Tilbury (1150–1228). (Source: Werewolf)",Wikipedia match,lycanthropy
SQ4Y,"mental, emotional and behavioural disorders","Emotions are physical and mental states brought on by neurophysiological changes, variously associated with thoughts, feelings, behavioral responses, and a degree of pleasure or displeasure. (Source: Emotion)",Wikipedia match,"mental,, emotional"
SQ4Z,"Mental, emotional and behavioural disorders (TM2),","Emotions are physical and mental states brought on by neurophysiological changes, variously associated with thoughts, feelings, behavioral responses, and a degree of pleasure or displeasure. (Source: Emotion)",Wikipedia match,"mental,, emotional"
,External factors disorders,PubMed findings: A Web-Based Dynamic Nomogram for Early Diagnosis in Sepsis: Development and Validation with Real-World Clinical Utility.,PubMed match,"external, factors"
,- - - - Infestation disorders (TM2),Skipped - Not a specific disease,Skipped,
SQ50,Worm infestation disorder,Infestation is the state of being invaded or overrun by pests or parasites. It can also refer to the actual organisms living on or within a host. (Source: Infestation),Wikipedia match,"worm, infestation"
SQ5Y,infestation disorders,Infestation is the state of being invaded or overrun by pests or parasites. It can also refer to the actual organisms living on or within a host. (Source: Infestation),Wikipedia match,infestation
SQ5Z,"Infestation disorders (TM2),",Infestation is the state of being invaded or overrun by pests or parasites. It can also refer to the actual organisms living on or within a host. (Source: Infestation),Wikipedia match,"infestation, (tm2),"
,- - - - Poisoning disorders (TM2),Skipped - Not a specific disease,Skipped,
SQ60,Pseudo poisoning disorder,"Toxicology is the practice and study of symptoms, mechanisms, diagnoses, and treatments correlated to poisoning. (Source: Poisoning)",Wikipedia match,"pseudo, poisoning"
SQ61,Artificial poison disorder,"Artificiality is the state of being the product of intentional human manufacture, rather than occurring naturally through processes not involving or requiring human activity. (Source: Artificiality)",Wikipedia match,"artificial, poison"
SQ6Y,poisoning disorders,"Toxicology is the practice and study of symptoms, mechanisms, diagnoses, and treatments correlated to poisoning. (Source: Poisoning)",Wikipedia match,poisoning
SQ6Z,"Poisoning disorders (TM2),","Toxicology is the practice and study of symptoms, mechanisms, diagnoses, and treatments correlated to poisoning. (Source: Poisoning)",Wikipedia match,"poisoning, (tm2),"
SQ80,Inadequate diet disorders,PubMed findings: Perspectives in Practice: Updates on Diagnosing Malnutrition in Adults in Clinical Settings.,PubMed match,"inadequate, diet"
SQ8Y,external factors disorders,PubMed findings: A Web-Based Dynamic Nomogram for Early Diagnosis in Sepsis: Development and Validation with Real-World Clinical Utility.,PubMed match,"external, factors"
SQ8Z,"External factors disorders (TM2),",PubMed findings: Researcher's guide to preclinical animal models of acute extremity compartment syndrome. | A Web-Based Dynamic Nomogram for Early Diagnosis in Sepsis: Development and Validation with Real-World Clinical Utility.,PubMed match,"external, factors"
,- - - Childhood disorders (TM2),Skipped - Not a specific disease,Skipped,
SR00,Marasmus disorder,"Marasmus is a form of severe malnutrition characterized by energy deficiency. This clear-cut separation of marasmus and kwashiorkor is however not always clinically evident as kwashiorkor is often seen in a context of insufficient caloric intake, and mixed clinical pictures, called marasmic kwashiorkor, are possible. Protein wasting in kwashiorkor generally leads to edema and ascites, while muscular wasting and loss of subcutaneous fat are the main clinical signs of marasmus, which makes the ribs and joints protrude. (Source: Marasmus)",Wikipedia match,marasmus
SR01,Bed wetting disorder,Complications can include urinary tract infections. (Source: Nocturnal enuresis),Wikipedia match,"bed, wetting"
SR02,Infantile dysentry disorder,"Other symptoms may include fever, abdominal pain, and a feeling of incomplete defecation. Complications may include dehydration. (Source: Dysentery)",Wikipedia match,"infantile, dysentry"
SR03,Infantile epilepsy disorder,"Epilepsy is a group of non-communicable neurological disorders characterized by a tendency for recurrent, unprovoked seizures. A seizure is a sudden burst of abnormal electrical activity in the brain that can cause a variety of symptoms, ranging from brief lapses of awareness or muscle jerks to prolonged convulsions. These episodes can result in physical injuries, either directly, such as broken bones, or through causing accidents. (Source: Epilepsy)",Wikipedia match,"infantile, epilepsy"
SR04,Ophthalmia neonatarum disorder,"It results in congestion of the eyeball, often eye-watering, redness and swelling, itching and burning, and a general feeling of irritation under the eyelids. Ophthalmia can have different causes, such as infection from bacteria, viruses, fungi, or may result from a physical trauma to the eye, chemical irritation, and allergies. (Source: Ophthalmia)",Wikipedia match,"ophthalmia, neonatarum"
SR05,Childhood malnutrition disorder,"Undernutrition in children, occurs when children do not consume enough calories, protein, or micronutrients to maintain good health. It is common globally and may result in both short and long term irreversible adverse health outcomes. (Source: Undernutrition in children)",Wikipedia match,"childhood, malnutrition"
SR06,Oral thrush in babies disorder,"Oral candidiasis (Acute pseudomembranous candidiasis), also known among other names as oral thrush, is candidiasis that occurs in the mouth. That is, oral candidiasis is a mycosis (yeast/fungal infection) of Candida species on the mucous membranes of the mouth. (Source: Oral candidiasis)",Wikipedia match,"oral, thrush"
SR0Y,childhood disorders,"A child is a human being between the stages of birth and puberty, or between the developmental period of infancy and puberty. The term may also refer to an unborn human being. (Source: Child)",Wikipedia match,childhood
SR0Z,"Childhood disorders (TM2),","A child is a human being between the stages of birth and puberty, or between the developmental period of infancy and puberty. The term may also refer to an unborn human being. (Source: Child)",Wikipedia match,"childhood, (tm2),"
,Traditional medicine patterns,"A pattern is a regularity in the world, in human-made design, or in abstract ideas. There exists countless kinds of unclassified patterns, present in everyday nature, fashion, many artistic areas, as well as a connection with mathematics. A geometric pattern is a type of pattern formed of repeating geometric shapes and typically repeated like a wallpaper design. (Source: Pattern)",Wikipedia match,patterns
,Functional elements and humoral derangement patterns,Functional disorders are a group of recognisable medical conditions which are due to changes to the functioning of the systems of the body rather than due to a disease affecting the structure of the body. (Source: Functional disorder),Wikipedia match,"functional, elements"
SR10,Vitiation of vāta pattern,PubMed findings: A clinical study to evaluate the role of Doshik predominance in the management of Amlapitta. | Clinical effect of Matra Basti and Vatari Guggulu in the management of Amavata (rheumatoid arthritis).,PubMed match,"vitiation, vāta"
SR11,Accumulation of Vata pattern,No reliable medical information found from available sources,No match,"accumulation, vata"
SR12,Aggravation of vata pattern,No reliable medical information found from available sources,No match,"aggravation, vata"
SR13,Spreading of vata pattern,"PubMed findings: Metastatic breast involvement from extramammary malignancies: a review of dissemination pathways, imaging features, and management strategies.",PubMed match,"spreading, vata"
SR14,Depletion of vata pattern,No reliable medical information found from available sources,No match,"depletion, vata"
SR15,Vitiation of pitta pattern,"Pittas are a family, Pittidae, of passerine birds found in Asia, Australasia and Africa. There are 44 species of pittas, all similar in general appearance and habits. (Source: Pitta)",Wikipedia match,"vitiation, pitta"
SR16,Accumulation of pitta pattern,"Pittas are a family, Pittidae, of passerine birds found in Asia, Australasia and Africa. There are 44 species of pittas, all similar in general appearance and habits. (Source: Pitta)",Wikipedia match,"accumulation, pitta"
SR17,Aggravation of pitta pattern,"Pittas are a family, Pittidae, of passerine birds found in Asia, Australasia and Africa. There are 44 species of pittas, all similar in general appearance and habits. (Source: Pitta)",Wikipedia match,"aggravation, pitta"
SR18,Spreading of pitta pattern,"Pittas are a family, Pittidae, of passerine birds found in Asia, Australasia and Africa. There are 44 species of pittas, all similar in general appearance and habits. (Source: Pitta)",Wikipedia match,"spreading, pitta"
SR19,Depletion of pitta pattern,"Pittas are a family, Pittidae, of passerine birds found in Asia, Australasia and Africa. There are 44 species of pittas, all similar in general appearance and habits. (Source: Pitta)",Wikipedia match,"depletion, pitta"
SR1A,Vitiation of kapha pattern,"Ayurveda is an alternative medicine system with historical roots in the Indian subcontinent. It is heavily practised throughout India and Nepal, where as much as 80% of the population report using ayurveda. (Source: Ayurveda)",Wikipedia match,"vitiation, kapha"
SR1B,Accumulation of kapha pattern,"Ayurveda is an alternative medicine system with historical roots in the Indian subcontinent. It is heavily practised throughout India and Nepal, where as much as 80% of the population report using ayurveda. (Source: Ayurveda)",Wikipedia match,"accumulation, kapha"
SR1C,Aggravation of kapha pattern,"Ayurveda is an alternative medicine system with historical roots in the Indian subcontinent. It is heavily practised throughout India and Nepal, where as much as 80% of the population report using ayurveda. (Source: Ayurveda)",Wikipedia match,"aggravation, kapha"
SR1D,Spreading of kapha pattern,"Ayurveda is an alternative medicine system with historical roots in the Indian subcontinent. It is heavily practised throughout India and Nepal, where as much as 80% of the population report using ayurveda. (Source: Ayurveda)",Wikipedia match,"spreading, kapha"
SR1E,Depletion of kapha pattern,"Ayurveda is an alternative medicine system with historical roots in the Indian subcontinent. It is heavily practised throughout India and Nepal, where as much as 80% of the population report using ayurveda. (Source: Ayurveda)",Wikipedia match,"depletion, kapha"
SR1F,Increase of Vaḷi pattern,PubMed findings: Cytosolic calcium handling signature: integration with clinical predictors enhances prediction of post-operative atrial fibrillation.,PubMed match,"increase, vaḷi"
SR1G,Increase of Aẕal pattern,PubMed findings: Cytosolic calcium handling signature: integration with clinical predictors enhances prediction of post-operative atrial fibrillation.,PubMed match,"increase, aẕal"
SR1H,Increase of Aiyam pattern,PubMed findings: Cytosolic calcium handling signature: integration with clinical predictors enhances prediction of post-operative atrial fibrillation.,PubMed match,"increase, aiyam"
SR1J,Decrease of Vaḷi pattern,"A decrease in knitting is a reduction in the number of stitches, usually accomplished by suspending the stitch to be decreased from another existing stitch or by knitting it together with another stitch. (Source: Decrease (knitting))",Wikipedia match,"decrease, vaḷi"
SR1K,Decrease of Aẕal pattern,"A decrease in knitting is a reduction in the number of stitches, usually accomplished by suspending the stitch to be decreased from another existing stitch or by knitting it together with another stitch. (Source: Decrease (knitting))",Wikipedia match,"decrease, aẕal"
SR1L,Decrease of Aiyam pattern,"A decrease in knitting is a reduction in the number of stitches, usually accomplished by suspending the stitch to be decreased from another existing stitch or by knitting it together with another stitch. (Source: Decrease (knitting))",Wikipedia match,"decrease, aiyam"
SR1M,Predominance of Dam pattern,"Predominance is the debut album by the Norwegian thrash metal band Susperia. Produced at the Abyss Studios, it combines thrash metal with black metal. (Source: Predominance)",Wikipedia match,"predominance, dam"
SR1N,Predominance of Ṣafrā’ pattern,"Predominance is the debut album by the Norwegian thrash metal band Susperia. Produced at the Abyss Studios, it combines thrash metal with black metal. (Source: Predominance)",Wikipedia match,"predominance, ṣafrā’"
SR1P,Predominance of Balgham pattern,"Predominance is the debut album by the Norwegian thrash metal band Susperia. Produced at the Abyss Studios, it combines thrash metal with black metal. (Source: Predominance)",Wikipedia match,"predominance, balgham"
SR1Q,Predominance of Sawdā’ pattern,"Predominance is the debut album by the Norwegian thrash metal band Susperia. Produced at the Abyss Studios, it combines thrash metal with black metal. (Source: Predominance)",Wikipedia match,"predominance, sawdā’"
SR1R,Blood thickening pattern,"Hematologic diseases include rare genetic disorders, anemia, HIV, sickle cell disease and complications from chemotherapy or transfusions. (Source: Hematologic disease)",Wikipedia match,"blood, thickening"
SR1S,Blood thinning pattern,"Hematologic diseases include rare genetic disorders, anemia, HIV, sickle cell disease and complications from chemotherapy or transfusions. (Source: Hematologic disease)",Wikipedia match,"blood, thinning"
SR1T,Blood deficiency pattern,"Hematologic diseases include rare genetic disorders, anemia, HIV, sickle cell disease and complications from chemotherapy or transfusions. (Source: Hematologic disease)",Wikipedia match,"blood, deficiency"
SR1U,Blood hyperviscosity pattern,"Hematologic diseases include rare genetic disorders, anemia, HIV, sickle cell disease and complications from chemotherapy or transfusions. (Source: Hematologic disease)",Wikipedia match,"blood, hyperviscosity"
SR1V,Spoilage of humors pattern,"Humorism, the humoral theory, or humoralism, was a system of medicine detailing a supposed makeup and workings of the human body, adopted by Ancient Greek and Roman physicians and philosophers. (Source: Humorism)",Wikipedia match,"spoilage, humors"
SR1W,Burning of humors pattern,"Combustion, or burning, is a high-temperature exothermic redox chemical reaction between a fuel and an oxidant, usually atmospheric oxygen, that produces oxidized, often gaseous products, in a mixture termed as smoke. Combustion does not always result in fire, because a flame is only visible when substances undergoing combustion vaporize, but when it does, a flame is a characteristic indicator of the reaction. (Source: Combustion)",Wikipedia match,"burning, humors"
SR1X,Thickening of humors pattern,"A thickening agent or thickener is a substance which can increase the viscosity of a liquid without substantially changing its other properties. Edible thickeners are commonly used to thicken sauces, soups, and puddings without altering their taste; thickeners are also used in paints, inks, explosives, and cosmetics. (Source: Thickening agent)",Wikipedia match,"thickening, humors"
SR20,Pattern of occlusion,"A pattern is a regularity in the world, in human-made design, or in abstract ideas. There exists countless kinds of unclassified patterns, present in everyday nature, fashion, many artistic areas, as well as a connection with mathematics. A geometric pattern is a type of pattern formed of repeating geometric shapes and typically repeated like a wallpaper design. (Source: Pattern)",Wikipedia match,"pattern, occlusion"
SR2Y,functional elements and humoral derangement patterns,Functional disorders are a group of recognisable medical conditions which are due to changes to the functioning of the systems of the body rather than due to a disease affecting the structure of the body. (Source: Functional disorder),Wikipedia match,"functional, elements"
SR2Z,"Functional elements and humoral derangement patterns (TM2),",Functional disorders are a group of recognisable medical conditions which are due to changes to the functioning of the systems of the body rather than due to a disease affecting the structure of the body. (Source: Functional disorder),Wikipedia match,"functional, elements"
,Physical constituent derangement patterns,"Physical disorder, as a medical term, is poorly defined, and typically used in contrast to a mental disorder or a genetic disorder. The term mental disorder is heavily used in psychiatric medicine, and is defined in some psychiatric medicine texts, most notably the Diagnostic and Statistical Manual of Mental Disorders (DSM). (Source: Physical disorder)",Wikipedia match,"physical, constituent"
SR40,Vitiation of 'primary structural components of the body' pattern,PubMed findings: A clinical study to evaluate the role of Doshik predominance in the management of Amlapitta. | Clinical effect of Matra Basti and Vatari Guggulu in the management of Amavata (rheumatoid arthritis).,PubMed match,"vitiation, 'primary"
SR41,Aggravation of primary circulating nutrient fluid pattern,No reliable medical information found from available sources,No match,"aggravation, primary"
SR42,Depletion of primary circulating nutrient fluid pattern,No reliable medical information found from available sources,No match,"depletion, primary"
SR43,Morbid increase of blood pattern,Diseases are often known to be medical conditions that are associated with specific signs and symptoms. (Source: Disease),Wikipedia match,"morbid, increase"
SR44,Depletion of blood pattern,"Blood is a body fluid in the circulatory system of humans and other vertebrates that delivers necessary substances such as nutrients and oxygen to the cells, and transports metabolic waste products away from those same cells. (Source: Blood)",Wikipedia match,"depletion, blood"
SR45,Excessive increase of muscular tissues pattern,No reliable medical information found from available sources,No match,"excessive, increase"
SR46,Depletion of muscular tissues pattern,"Skeletal muscle is one of the three types of vertebrate muscle tissue, the others being cardiac muscle and smooth muscle. They are part of the voluntary muscular system and typically are attached by tendons to bones of a skeleton. (Source: Skeletal muscle)",Wikipedia match,"depletion, muscular"
SR47,Increase of adipose tissues pattern,"Adipose tissue is a loose connective tissue composed mostly of adipocytes. It also contains the stromal vascular fraction (SVF) of cells including preadipocytes, fibroblasts, vascular endothelial cells and a variety of immune cells such as adipose tissue macrophages. (Source: Adipose tissue)",Wikipedia match,"increase, adipose"
SR48,Depletion of adipose tissues pattern,"Adipose tissue is a loose connective tissue composed mostly of adipocytes. It also contains the stromal vascular fraction (SVF) of cells including preadipocytes, fibroblasts, vascular endothelial cells and a variety of immune cells such as adipose tissue macrophages. (Source: Adipose tissue)",Wikipedia match,"depletion, adipose"
SR49,Increase of bone tissues pattern,"A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals. Bones protect the various other organs of the body, produce red and white blood cells, store minerals, provide structure and support for the body, and enable mobility. (Source: Bone)",Wikipedia match,"increase, bone"
SR4A,Depletion of bone tissues pattern,"A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals. Bones protect the various other organs of the body, produce red and white blood cells, store minerals, provide structure and support for the body, and enable mobility. (Source: Bone)",Wikipedia match,"depletion, bone"
SR4B,Increase of bone marrow pattern,"A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals. Bones protect the various other organs of the body, produce red and white blood cells, store minerals, provide structure and support for the body, and enable mobility. (Source: Bone)",Wikipedia match,"increase, bone"
SR4C,Depletion of bone marrow pattern,"A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals. Bones protect the various other organs of the body, produce red and white blood cells, store minerals, provide structure and support for the body, and enable mobility. (Source: Bone)",Wikipedia match,"depletion, bone"
SR4D,Increase of reproductive tissues and semen pattern,"Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"increase, reproductive"
SR4E,Depletion of reproductive tissues and semen pattern,"Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"depletion, reproductive"
SR4F,Diminution of Ojas pattern,"Diminution may also be the compositional device where a melody, theme or motif is presented in shorter note-values than were previously used. Diminution is also the term for the proportional shortening of the value of individual note-shapes in mensural notation, either by coloration or by a sign of proportion. (Source: Diminution)",Wikipedia match,"diminution, ojas"
SR4G,Derangement of Ojas pattern,"Bush, the 43rd president of the United States, has elicited a variety of public perceptions regarding his policies, personality and performance as a head of state. In the United States and elsewhere, journalists, polling organizations and others have documented the expression of an evolving array of opinions of President Bush. (Source: Public image of George W. Bush)",Wikipedia match,"derangement, ojas"
SR4H,Dislodgement of Ojas pattern,"in Ayurveda, the seven fundamental principles (elements) that support the basic structure of the body. (Source: Dhātu (ayurveda))",Wikipedia match,"dislodgement, ojas"
SR4J,Increased menstrual flow pattern,The menstrual cycle is a series of natural changes in hormone production and the structures of the uterus and ovaries of the female reproductive system that makes pregnancy possible. The ovarian cycle controls the production and release of eggs and the cyclic release of estrogen and progesterone. (Source: Menstrual cycle),Wikipedia match,"increased, menstrual"
SR4K,Diminution of menstrual flow pattern,"Diminution may also be the compositional device where a melody, theme or motif is presented in shorter note-values than were previously used. Diminution is also the term for the proportional shortening of the value of individual note-shapes in mensural notation, either by coloration or by a sign of proportion. (Source: Diminution)",Wikipedia match,"diminution, menstrual"
