Sr No.,NAMC_ID,NAMC_CODE,NAMC_term_DEVANAGARI,System,NAMC_TERM2,Tamil_term,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Definition
288,288,EAC,,Siddha,Aiyam,ஐயம்,,,,,Piles classified under Aiyam humour
289,289,EAC1.1,,Siddha,Aiya Muḷai,ஐய முளை,,,,,"It is characterised by pale pile mass with icthing, burning sensation and pain associated with pus discharge, burning micturition, anal pain, thirst and fatique. It is explained by increase of aiyam associated with Aẕal."
290,290,EAC1.2,,Siddha,Eruvāy Ciṟu Muḷai,எருவாய் சிறு முளை,,,,,"It is characterised by small pile mass associated with burning sensation over the body, giddiness, abdominal pain, flatulence, weight loss, anoexia and pallor. It is explained by the increase of Aẕal associated with vali. Among the seven Uṭaṟtātukkaḷ, C"
291,291,EAC1.3,,Siddha,Kuẕi Muḷai,குழி முளை,,,,,"It is characterised by the pile mass resembling Ipomeo batatus size felt externally in anus, severe constipation, defecation urge increases severe anal pain. It is explained by increase of aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕu"
292,292,EAC1.4,,Siddha,Veḷi Muḷai,வெளி முளை,,,,,"It is characterised by pile mass of pea size found externally with serous and fluid discharge associated with itching and geneal tiredness. It is explained by increase of vali associated with Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕ"
293,293,EAC1.5,,Siddha,Cavvu Muḷai,சவ்வு முளை,,,,,"It is characterised by pile mass like tape with serous and pus discharge associated with abdominal pain, burning sensation over the anus and lassitute. It is explained by increase of Aẕal associated with vali. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr"
294,294,EB,,Siddha,Kuṉmam,குன்மம்,,,,,Gatsirc disorder
295,295,EBA,,Siddha,Vaḷi,வளி,,,,,Gatsirc disorder classified under Vali humour
296,296,EBA1.1,,Siddha,Vali Kuṉmam,வலி குன்மம்,,,,,"It is characterised by stomach pain, body pain, head ache, tiredness, giddiness,vomiting, thirst and dryness of tongue. Small quantity of blood in the vomit and it appears dark in colour. Pain below the xiphisternum within few hours after food due to indi"
297,297,EBA1.2,,Siddha,Vaḷi Kuṉmam,வளி குன்மம்,,,,,"It is characterised by indigestion, flatulence, nausea, depression, insomnia, diarrhoea, pain in the rib cage, pseudo appetite and frequent attacks of fever, severe abdominal pain, pricking in nature and unbearble tends to commit suicide. It is explained"
298,298,EBA1.3,,Siddha,Kāl Kuṉmam,கால் குன்மம்,,,,,"It is characterised by indigestion, vomiting and severe abdominal pain, vomitus looks like fresh food which was eatten, distended abdomen like filled bellows, general tiredness. It is explained by the increase of vali and abana vayu gets stimulated and i"
299,299,EBB,,Siddha,Aẕal,அழல்,,,,,Gatsirc disorder classified under Azhal humour
300,300,EBB1.1,,Siddha,Aẕal Kuṉmam,அழல் குன்மம்,,,,,"It is characterised by nausea, vomiting, burning pain in stomach, ageusia, dryness of tongue, burning pain over the upper stomach, regurgitation of fluid in the stomach, tiredness, laziness, head ache and insomnia. The body will become lean and may develo"
301,301,EBB1.2,,Siddha,Ēṟi Kuṉmam,எரி குன்மம்,,,,,"It is characterised by unbearable irritation in the stomach within short time after intake of food, flatulence, excessive salivary secretion, head ache, diarrhoea, sweating all over the root of hairs and frequent belching with sour smell. It explained by"
302,302,EBB1.3,,Siddha,Vānti Kuṉmam,வாந்தி குன்மம்,,,,,"it is characterised by indigestion, vomiting , giddiness, burning pain in stomach, spasm and irritation of stomach, constipation, feeling of warmth all over the body, inability to walk and ageusia. It is explained by aggravated Aẕal and then increases val"
303,303,EBC,,Siddha,Aiyam,ஐயம்,,,,,Gatsirc disorder classified under Aiyam humour
304,304,EBC1.1,,Siddha,Aiya Kuṉmam,ஐய குன்மம்,,,,,"It is characterised by nausea, irritation of throat, anaemia, malnutrition , frequent fright, vomiting, distention of abdomen like drum, heametemesis and fear of having cancer in stomach. It is explained by the increase of Aẕal and then vali. Among the se"
305,305,EBD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Gatsirc disorder classified under mukkutram
306,306,EBD1.1,,Siddha,Mukkuṟṟa Kuṉmam,முக்குற்ற குன்மம்,,,,,"It is characterized by distended abdomen, excessive salivary secretion, irritation of the throat, dyspnoea, giddiness and anorexia. It is explained by increase of vali and increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram, seneer and Koẕuppu get affect"
307,307,EC,,Siddha,Kaṭuppukkaẕiccal,கடுப்புக்கழிச்சல்,,,,,Loose stools with blood and pus
308,308,ECB,,Siddha,Aẕal,அழல்,,,,,Loose stools with blood and pus classified under Azhal humour
309,309,ECB1.1,,Siddha,Kaṭuppukkaẕiccal,கடுப்புக்கழிச்சல்,,,,,"It is characterised by dysentery associated with abdominal pain , mucoidal stools and anal pain, pain aggravates unbearably leads to diarrhoea, feacal matter later found to be mucuoid and blood, 50-60 times dysentry leads to dehydration, low pulse, sunk"
310,310,ED,,Siddha,Mānta Nōy,மாந்த நோய்,,,,,Digestive disorder
311,311,EDA,,Siddha,Vaḷi,வளி,,,,,Digestive disorder classified under vali
312,312,EDA1.1,,Siddha,Kōl Mānta Nōy,கோல் மாந்த நோய்,,,,,"It is characterised by unbearable abdominal pain, excessive thirst, goose flesh on the body, viscous sweating, dyspnoea, change of body colour, stuffy ear, unable to bend forward. It is explained by increase of vali and then Aẕal. Among the seven Uṭaṟtātu"
313,313,EDB,,Siddha,Aẕal,அழல்,,,,,Digestive disorder classified under Azhal
314,314,EDB1.1,,Siddha,Nañcu Mānta Nōy,நஞ்சு மாந்த நோய்,,,,,"It is characterised by abdominal pain, giddiness, nausea, hyperacdidity, vomiting, diarrhoea, unbearable pain in abdomen. It is explained by increase of Aẕal and increased vali.Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr and Koẕuppu get affected."
315,315,EDC,,Siddha,Aiyam,ஐயம்,,,,,Digestive disorder classified under Aiyam
316,316,EDC1.1,,Siddha,Aiya Mānta Nōy,ஐய மாந்த நோய்,,,,,"It is characterised by painful bowel movements, abdominal pain, dyspnoea, excessive salivary secretion, dryness of tongue and excessive thirst. It is explained by increase of vali and then aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu get"
317,317,EE,,Siddha,Niṇak Kaẕiccal,நிணக் கழிச்சல்,,,,,Dysentry
318,318,EEA,,Siddha,Vaḷi,வளி,,,,,Dysentry classified under vali
319,319,EEA1.1,,Siddha,Vaḷi Niṇak Kaẕiccal,வளி நிணக் கழிச்சல்,,,,,"It is characterised by dysentry, flatulence, emaciation around mandible, pain in ribs, neck, thighs, chest, frequent diarrhoea, black coloured stools, sugar syrup consistency in stools. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ"
320,320,EEA1.2,,Siddha,Oṭṭu Niṇak Kaẕiccal,ஒட்டு நிணக் கழிச்சல்,,,,,"It is characterised by abdominal pain, pain in chest, back, costal regions, restlessness, stools appeared in different colours, cramps around umbilicus, depression. It is explained by the increase of Aẕal and vali. Among the seven Uṭaṟtātukkaḷ Cāram, se"
321,321,EEA1.3,,Siddha,Kuṭaṟkāl Niṇak Kaẕiccal,குடர்கால் நிணக் கழிச்சல்,,,,,"It is characterised by dysentry associated with belching, vomiting, anorexia, thirst, and hiccup, frequent diarrhoea leads to weight loss, pallor, tiredness and cramps over the costal region. It is explained by increase of Aẕal and vali. Among the seven U"
322,322,EEA1.4,,Siddha,Kīẕ Vāyuk Kaẕiccal,கீழ் வாயுக் கழிச்சல்,,,,,"It is characterised by dysentry associated with indigestion, flatulence, burning sensation over the anus, anal pain and prolapse of rectum. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu get affected."
323,323,EEB,,Siddha,Aẕal,அழல்,,,,,Dysentry classified under Azhal
324,324,EEB1.1,,Siddha,Aẕal Niṇak Kaẕiccal,அழல் நிணக் கழிச்சல்,,,,,"It is characterised by dysentry associated with abdominal pain, diarrhoea with different colour, foul swelling stools and depression. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Ūṉ get affected."
325,325,EEB1.2,,Siddha,Aẕaṟkal Niṇak Kaẕiccal,அழற்கால் நிணக் கழிச்சல்,,,,,"It is characterised by dysentry associated with indigestion,flatulence, belching, blackish discolouration of body and body pain. It is explained by the increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ get affected."
326,326,EEB1.3,,Siddha,Ericcal Niṇak Kaẕiccal,எரிச்சல் நிணக் கழிச்சல்,,,,,"It is characterised by dysentry associated with vomiting, giddiness, fever and depression, moistness around the anus, phlegm in chest and frequent diarrhoea. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer an"
327,327,EEB1.4,,Siddha,Cūl Niṇak Kaẕiccal,சூல் நிணக் கழிச்சல்,,,,,"It is characterised by dysentry occurs in pregnancy associated with breathlessness, vomiting, abdominal pain, anal pain and pallor. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu get affected."
328,328,EEB1.5,,Siddha,Kuṉma Kaẕiccal,குன்ம கழிச்சல்,,,,,"it is characterised by dysentry caused due to gastric ulcer, burning sensation over the body, flatulence, blurred vision, sweating over the head. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu ge"
329,329,EEC,,Siddha,Aiyam,ஐயம்,,,,,Dysentry classified under Aiyam
330,330,EEC1.1,,Siddha,Aiya Niṇak Kaẕiccal,ஐய நிணக் கழிச்சல்,,,,,"It is characterised by dysentry associated with burning sensation, foul odoured whitish coloured stools, mild fever, tiredness over the limbs, dryness over nose, tongue, bits of flesh and mucus appears in the stools and continous hiccup. It is explained b"
331,331,EED,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Dysentry classified under Mukkutram
332,332,EED1.1,,Siddha,Mukkuṟṟa Niṇak Kaẕiccal,முக்குற்ற நிணக் கழிச்சல்,,,,,"It is characterised by dysentery associated with fever, rigor, headache, tremor, milky white stools, burning sensation over anus, upper limbs and lower limbs, discolouration of limbs and excessive flatus. It is explained by the increase of mukkutram. Amon"
333,333,EF,,Siddha,Peruṅ Kaẕiccal,பெருங் கழிச்சல்,,,,,Loose stools
334,334,EFA,,Siddha,Vaḷi,வளி,,,,,loose stools classified under vali
335,335,EFA1.1,,Siddha,Vaḷipperuṅ Kaẕiccal,வளிப்பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea, flatulence, abdominal pain, anuria, frequent diarrhoea, heartburn and yellowish black coloured stools. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
336,336,EFA1.2,,Siddha,Curapperuṅ Kaẕiccal,சுரப்பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea associated with fever especially thyphoid and typhus fever. It is explained by the increase of aiyam and later vali. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
337,337,EFB,,Siddha,Aẕal,அழல்,,,,,Loose stools classified under Azhal
338,338,EFB1.1,,Siddha,Aẕal Peruṅ Kaẕiccal,அழல் பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea, frothy yellowish stools, frequent flatus, fever pallor, head ache and anasarca. It is explained by the increase of Aẕal and then increases vali. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
339,339,EFB1.2,,Siddha,Kuruti Peruṅ Kaẕiccal,குருதி பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea caused by excessive intake of high sour or pungent foods, arsenic medicines, herbs like abrus, semecarpus, plumbago. These substances can cause ulcers and inflammation in intestine and thereby blood appears in diarrhoea. I"
340,340,EFB1.3,,Siddha,Payam Peruṅ Kaẕiccal,பயம் பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea caused due to fear and depression. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
341,341,EFB1.4,,Siddha,Thoda Peruṅ Kaẕiccal,தோட பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea, indigestion, flatulence and foul smelling stools. It is explained by increase of vali and then Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
342,342,EFC,,Siddha,Aiyam,ஐயம்,,,,,Loose stools classified under Aiyam
343,343,EFC1.1,,Siddha,Aiya Peruṅ Kaẕiccal,ஐய பெருங் கழிச்சல்,,,,,"It is characterised by diarrhoea, abdominal pain, frothy, foul smelling mucoid stools, anorexia, cough, breathlessness, anal pain, pallor and itching over the body. It is explained by increase of aiyam and then vali. Among the seven Uṭaṟtātukkaḷ Cāram,"
344,344,EFD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Loose stools classified under Mukkutram
345,345,EFD1.1,,Siddha,Mukkuṟṟa Peruṅ Kaẕiccal,முக்குற்ற பெருங் கழிச்சல்,,,,,"It is characterised by abdominal pain, flatulence, blood and mucoidal stools, cough, breathlessness, vomiting, hiccup and anasarca. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
346,346,EG,,Siddha,Ceriyāmai,செரியாமை,,,,,Indigestion
347,347,EGA,,Siddha,Vaḷi,வளி,,,,,Indigestion classified under of vali
348,348,EGA1.1,,Siddha,Vaḷi Ceriyāmai,வளி செரியாமை,,,,,"It is characterised by distension of abdomen, dysentry, increased peristalsis, darkening of face, giddiness, breathlessness, frequent flatus, anal pain, vomitus resembleming the food what was eaten. It is explained by increase of vali. Among the seven Uṭa"
349,349,EGB,,Siddha,Aẕal,அழல்,,,,,Indigestion classified under of Azhal
350,350,EGB1.1,,Siddha,Aẕal Ceriyāmai,அழல் செரியாமை,,,,,"It is characterised by vomitus of undigested food, frequent belching, irritation of mouth, sweating in the neck area, pulsation over lip and tongue, burning sensation over the body, dehydration and shrinkage of skin. It is explained by increase of Aẕal. A"
351,351,EGC,,Siddha,Aiyam,ஐயம்,,,,,Indigestion classified under of Aiyam
352,352,EGC1.1,,Siddha,Aiya Ceriyāmai,ஐய செரியாமை,,,,,"It is characterised by excessive salivary secretion, increased mucus secretion in the throat, dyspepsia, pallor, pseudoappetite, cough, breathlessness and head ache. It is explained by increase of aiyam and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram"
353,353,EGD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Indigestion classified under of mukkutram
354,354,EGD1.1,,Siddha,Mukkuṟṟa Cuvaiyiṉmai Nōy,முக்குற்ற செரியாமை,,,,,"It is characterised by vomiting, giddiness, dryness of nose, tongue and eyes, excessive thirst and diarrhoea. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ get affected."
355,355,EH,,Siddha,Cuvaiyiṉmai Nōy,சுவையின்மை நோய்,,,,,Ageusia
356,356,EHA,,Siddha,Vaḷi,வளி,,,,,Ageusia classified under vali
357,357,EHA1.1,,Siddha,Vaḷi Cuvaiyiṉmai Nōy,வளி சுவையின்மை நோய்,,,,,"It is characterised by the loss of taste, bitterness of mouth, nausea, whatever food taken tastes bitter and hypersentivity of tooth. It is explained by increase of vali. Among the seven body constituents, Cāram and Cennīr get affected."
358,358,EHB,,Siddha,Aẕal,அழல்,,,,,Ageusia classified under azhal
359,359,EHB1.1,,Siddha,Aẕal Cuvaiyiṉmai Nōy,அழல் சுவையின்மை நோய்,,,,,"It is characterised by loss of taste,salivary secretion, sourness of mouth, whatever food eaten tasted as sour or bitter and retching with nausea. It is explained by increase of Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected"
360,360,EHB1.2,,Siddha,Maṉa Cuvaiyiṉmai Nōy,மன சுவையின்மை நோய்,,,,,"It is characterised by loss of taste developed due to anxiety, sorrow, angry and fear, secretion of saliva, dislike of food and loss of tastes. It is explained by the increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram get affected."
361,361,EHC,,Siddha,Aiyam,ஐயம்,,,,,Ageusia classified under Aiyam
362,362,EHC1.1,,Siddha,Aiya Cuvaiyiṉmai Nōy,ஐய சுவையின்மை நோய்,,,,,"It is characterised by loss of taste, fleshy odourness of mouth, sweetness of mouth and nausea. It is explained by the increase of aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and seneer get affected."
363,363,EHD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Ageusia classified under mukkutram
364,364,EHD1.1,,Siddha,Mukkuṟṟacuvaiyiṉmai Nōy,முக்குற்ற சுவையின்மை நோய்,,,,,"It is characterised by loss of taste, nausea, foul smelling of mouth. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr and Koẕuppu get affected."
365,365,EI,,Siddha,Vānti,வாந்தி,,,,,Vomiting
366,366,EIA,,Siddha,Vaḷi,வளி,,,,,Vomiting classified under vali
367,367,EIA1.1,,Siddha,Vaḷi Vānti,வளி வாந்தி,,,,,"It is characterised by vomiting, nausea, excessive salivary secretion, retching, bitterness of mouth, abdominal pain, regurgitation, continous vomiting, irritation of throat, belching, hiccup, palpitation, fatigue, tiredness and hoarseness of voice. It is"
368,368,EIB,,Siddha,Aẕal,அழல்,,,,,Vomiting classified under Azhal
369,369,EIB1.1,,Siddha,Eru Vānti,எரு வாந்தி,,,,,"It is characterised by uncontrolled abdominal pain, dyspnoea, chillness of limbs, abdominal distension, excessive thirst, fever, head ache, giddiness and feacal vomiting. It is explained increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram"
370,370,EIB1.2,,Siddha,Aẕal Vānti,அழல் வாந்தி,,,,,"It is characterised by vomiting associated with excessive thirst, bitterness of mouth, head ache, fainting, giddiness and burning sensation in the body, yellowish, greenish tinted vomitus. It is explained by increase of Aẕal. Among the seven Uṭaṟtātukkaḷ"
371,371,EIB1.3,,Siddha,Kaṇṇēṟu Vānti,கண்ணேறு வாந்தி,,,,,It is characterised by vomiting occurs due to evil look of others. It is explained by increase of Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram get affected.
372,372,EIB1.4,,Siddha,Kuruti Vānti,குருதி வாந்தி,,,,,"It is characterised by blood vomiting occurs especially in tuberculosis, ulcers in stomach, damage of left and right lobes of liver, fresh blood vomiting with frothy occurs in tuberculosis, dark colourd vomiting occurs in stomach ulcer due to mixing of bl"
373,373,EIB1.5,,Siddha,Veṟuppu Vānti,வெறுப்பு வாந்தி,,,,,"It is characterised by vomiting occurs due to dislike, vomiting occurs on seeing or touching disliked substance and even on thinking about it. It is explained by increase of aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected."
374,374,EIB1.6,,Siddha,Puẕu Vānti,புழு வாந்தி,,,,,"It is characterised by vomiting occurs due to worm infestation, vomiting occurs with salivary secretion and worms expels in vomitus. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected."
375,375,EIB1.7,,Siddha,Cūl Vānti,சூல் வாந்தி,,,,,"It is characterised by nausea, vomiting during the first trimester of pregnancy and tiredness. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram and sennner get affected."
376,376,EIC,,Siddha,Aiyam,ஐயம்,,,,,Vomiting classified under Aiyam
377,377,EIC1.1,,Siddha,Aiya Vānti,ஐய வாந்தி,,,,,"It is characterised by vomiting, excessive salivary secretion, foul smelling in mouth, bitterness of mouth, chest pain with palpitation, sweating over the face and dryness of the eyes. It is explained by increase of aiyam and then vali. Among the seven Uṭ"
378,378,EID,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Vomiting classified under mukkuttram
379,379,EID1.1,,Siddha,Mukkuṟṟa Vānti,முக்குற்ற வாந்தி,,,,,"It is characterised by vomiting, salivary secretion, obstruction in throat, excessive thirst, fainting and shivering of body, impairment of intelligence. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affect"
380,380,EJ,,Siddha,Vikkal Nōy,விக்கல் நோய்,,,,,Hiccups
381,381,EJA,,Siddha,Vaḷi,வளி,,,,,Hiccups classified under Vali
382,382,EJA1.1,,Siddha,Vaḷi Vikkal Nōy,வளி விக்கல் நோய்,,,,,"It is characterised by hiccup occuring repeatedly, rapid movement of eyeballs. It is explained increase of vali. Among the seven Uṭaṟtātukkaḷ, Cāram get affected."
383,383,EJB,,Siddha,Aẕal,அழல்,,,,,Hiccups classified under Azhal
384,384,EJB1.1,,Siddha,Aẕal Vikkal Nōy,அழல் விக்கல் நோய்,,,,,"It is characterised by hiccup occuring due to excessive appetite,fatigue, worries, hiccup sound arises from the larynx. It is explained by increase of Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affeceted."
385,385,EJC,,Siddha,Aiyam,ஐயம்,,,,,Hiccups classified under Aiyam
386,386,EJC1.1,,Siddha,Aiyavikkal Mūḷai,ஐய விக்கல் நோய்,,,,,"It is characterised by hiccup, dryness of throat, paleness of face, watering of eyes, eye congestion, excessive mucus secretion and indigestion. It is explained by increase of aiyam and then Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and seneer get affect"
387,387,EJC1.2,,Siddha,Ceṟiya Vikkal Nōy,செரியா விக்கல் நோய்,,,,,"it is characterised by hiccup caused by eating too hot foods, dryness of throat, hoarseness of voice and cough, hiccup will not subside until the food gets digested. It is explained by increase of aiyam and then decrease of Aẕal. Among the seven Uṭaṟtātuk"
388,388,EJD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Hiccups classified under mukkutram
389,389,EJD1.1,,Siddha,Mukkuṟṟa Vikkal Nōy,முக்குற்ற விக்கல் நோய்,,,,,"It is characterised by hiccup arising from the abdomen, occurs repeatedly without interruption, chest pain, dyspnoea, extreme fatigue. It is explained by increase of mukkutram. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected."
390,390,F,,Siddha,Narampu Nōykaḷ,நரம்பு நோய்கள்,,,,,Neurological diseases
391,391,FA,,Siddha,Caṉṉi Nōy,சன்னி நோய்,,,,,Delirium
392,392,FAD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Delirium classified under mukkutram
393,393,FAD1.1,,Siddha,Cantika Caṉṉi,சந்திக சன்னி,,,,,"It is characterised by generalised pricking pain ,arthralgia in ankle and knee joint, unable to open eyes, stupor, burning sensation of the body with chillness. It is explained by increase vali influencing aiyam affects vyanan. Among the seven Uṭaṟtātukk"
394,394,FAD1.2,,Siddha,Antaka Caṉṉi,அந்தக சன்னி,,,,,"It is characterised by dryness of tongue,intense thirst,burning sensation of the body,giddiness,vomitting,muttering,hiccough,mlaise,heaviness of the head. It is explained by increase vali affects udanan,samanan. Among the seven Uṭaṟtātukkaḷ,saram and se"
395,395,FAD1.3,,Siddha,Ruttāka Caṉṉi,ருத்தாக சன்னி,,,,,"It is characterised by agony,burning sensation of the body,phobia,neck pain,generalized pricking pain,dryness of lips,sweating in the forehead,complaining to others. It is explained by increase Aẕal affecting vali and aiyam affects vyanan. Among the seven"
396,396,FAD1.4,,Siddha,Citta Viprama Caṉṉi,சித்த விப்ரம சன்னி,,,,,"It is characterised by generalized bodyache, aggravated vali Aẕal,stupor,changes in ones personality,muttering, wheeze, dyspnoea,intractable diarrhoea and leads to fatal. It is explained by increase Aẕal influences vali and aiyam affects nagan. Among the"
397,397,FAD1.5,,Siddha,Cītāṅka Caṉṉi,சீதாங்க சன்னி,,,,,"It is characterised by chillness all over the body,continuous cough,dyspnoea,hiccough,vomiting,stupor,tremors,frequent diarrhoea,muttering. It is explained by increase aiyam,affects udanan,vyanan,abanan & nagan. Among the seven Uṭaṟtātukkaḷ,Cāram, senn"
398,398,FAD1.6,,Siddha,Tāntarika Caṉṉi,தாந்தரீக சன்னி,,,,,"It is characterised by muttering,blackish discoloration of tongue,dryness with thorny texture,thirst,diarrhoea,dyspnoeic,pruritus ,edema around eyes with lacrimation & hyperpyrexia. It is explained by increase aiyam influences Aẕal affects udanan,nagan,vy"
399,399,FAD1.7,,Siddha,Kaṇṭakupca Caṉṉi,கண்டகுப்ச சன்னி,,,,,"It is characterised by phobia,neck stiffness,panic attacks followed by stupor,heaviness of the body,vomiting, hiccough,cough, & pain in the chest & head. It is explained by increase vali influencing Aẕal affects udanan,nagan. Among the seven Uṭaṟtātukk"
400,400,FAD1.8,,Siddha,Karṇika Caṉṉi,கர்ணிக சன்னி,,,,,"It is characterised by earache due to inflammation ,deafness,lockjaw,dyspnoea,cough,thirst,oral stomatitis,blackish discoloration of the tongue,tremors,heaviness of the head,muttering. It is explained by increase aiyam affects udanan,nagan,pranan. Among t"
401,401,FAD1.9,,Siddha,Pukṉanēttira Caṉṉi,புக்னநேத்திர சன்னி,,,,,"It is characterised by redness of eyes,dimness of vision,both the eyelids gets sticky due to mucus secretion, arthralgia,myalgia,osteodynia,cold extremities,delusion,cramps, muttering. It is explained by increase vali affects vyanan,nagan. Among the seve"
402,402,FAD1.10,,Siddha,Raktaṣṭīvi Caṉṉi,இரக்தஸ்டீவி சன்னி,,,,,"It is characterised by haemoptysis,haematemesis,diarrhoea with blood. Dryness of mouth,hyperpyrexia,delusion,memory loss,hiccough,giddiness,blackish discoloration of tongue,deafness. It is explained by increase Aẕal affects abanan,nagan,vyanan. Among th"
403,403,FAD1.11,,Siddha,Piralāpa Caṉṉi,பிரலாப சன்னி,,,,,"It is characterised by increased muttering,incoherent speech,generalised burning sensation & pain,attacks others,fever,hiccough,goose hair,anxious speech. It is explained by increase vali affects udanan,vyanan,nagan. Among the seven Uṭaṟtātukkaḷ,saram, C"
404,404,FAD1.12,,Siddha,Cimmaka Caṉṉi,சிம்மக சன்னி,,,,,"It is characterised by thorn-like texture of the tongue,blackish discoloration of the tongue,fissured,difficulty in speaking,poor hearing,hiccough,bodyache. It is explained by increase aiyam affects udanan,vyanan, & bothagam. Among the seven Uṭaṟtātukkal"
405,405,FAD1.13,,Siddha,Apiniyāca Caṉṉi,அபிநியாச சன்னி,,,,,"It is characterised by dysfunction of sensory organs,anorexia,speechless,stupor,aggravated mukkutram,predominantlyIyanaadi,wheeze,cough,drynessoftongue,hallucination of many colored,coma,hyperpyrexia,glowing face.Thi can be explained by deranged mukuttra"
406,406,FB,,Siddha,Vaḷippu,வலிப்பு,,,,,Epilepsy
407,407,FBD,,Siddha,Mukkuṟṟam,முக்குற்றம்,,,,,Epilepsy classified under mukkuttram
408,408,FBD1.1,,Siddha,Muppiṇi Valippu,முப்பிணி வலிப்பு,,,,,"It is characterised by jerking movements (clonic) of tongue and face.Neck and shoulder muscles becoming tense or rigid (tonic),seizures affecting ears,jaw and lips to deviate. Also known as Kumarakandan vali. This can be explained by of increased vali i"
409,409,FBD1.2,,Siddha,Kutirai Valippu,குதிரை வலிப்பு,,,,,"It is characterised aura with generalised bodyache,pricking pain in the body,syncope, followed by seizures,bites teeth,increased sweating over the neck,head,shoulder and face.Tongue and face jerks and gets deviated.After getting relieved of seizures,pain"
410,410,FBD1.3,,Siddha,Kuraṅkuvalippu,குரங்கு வலிப்பு,,,,,"It is characterised by rhythmic movements of upperlimb and lowerlimb keeping extended(clonic).Staring and upward rolling of eyes.It is explained by deranged mukkutram with bad prognosis. Among the seven Uṭaṟtātukkaḷ,Cāram,seneer,Ūṉ and Koẕuppu gets affe"
411,411,FBD1.4,,Siddha,Kākkai Valippu,காக்கை வலிப்பு,,,,,"It is characterised by anxiety and panic attacks, staring look, difficulty in flexion of thigh muscles((tonic).Dryness of throat & tongue and phlegm in the throat, incontinence of urine and faeces and sweating occurs. It is explained by increased vali i"
